S1223 MOD2015 FLAP
 0.93474    -0.10041
 0.93273    -0.09413
 0.93022    -0.08485
 0.92736    -0.07622
 0.92365    -0.06808
 0.91895    -0.05990
 0.91324    -0.05131
 0.90656    -0.04209
 0.89887    -0.03216
 0.89009    -0.02147
 0.88020    -0.01001
 0.86926     0.00214
 0.85734     0.01487
 0.84459     0.02808
 0.83114     0.04158
 0.81710     0.05533
 0.80255     0.06922
 0.79324     0.07760
 0.78598     0.08300
 0.78077     0.08542
 0.76053     0.08991
 0.74005     0.09423
 0.71936     0.09840
 0.69848     0.10244
 0.67747     0.10633
 0.65633     0.11006
 0.63503     0.11367
 0.61359     0.11713
 0.59206     0.12049
 0.57043     0.12371
 0.54870     0.12683
 0.52690     0.12983
 0.50514     0.13272
 0.48350     0.13547
 0.46203     0.13806
 0.44080     0.14047
 0.41995     0.14268
 0.39952     0.14462
 0.37954     0.14629
 0.36006     0.14764
 0.34105     0.14867
 0.32245     0.14934
 0.30446     0.14969
 0.28732     0.14965
 0.27096     0.14916
 0.25513     0.14819
 0.23963     0.14673
 0.22435     0.14479
 0.20933     0.14237
 0.19458     0.13950
 0.18004     0.13615
 0.16570     0.13235
 0.15171     0.12814
 0.13813     0.12355
 0.12501     0.11861
 0.11246     0.11337
 0.10053     0.10789
 0.08927     0.10219
 0.07874     0.09637
 0.06898     0.09048
 0.06004     0.08458
 0.05190     0.07874
 0.04453     0.07299
 0.03792     0.06736
 0.03202     0.06190
 0.02680     0.05658
 0.02221     0.05140
 0.01819     0.04634
 0.01469     0.04142
 0.01165     0.03658
 0.00903     0.03185
 0.00677     0.02722
 0.00484     0.02272
 0.00322     0.01850
 0.00194     0.01417
 0.00100     0.01042
 0.00039     0.00571
 0.00009     0.00220
 0.00006    -0.00109
 0.00028    -0.00497
 0.00072    -0.00812
 0.00143    -0.01098
 0.00255    -0.01355
 0.00431    -0.01556
 0.00647    -0.01700
 0.00862    -0.01855
 0.01113    -0.01957
 0.01389    -0.02018
 0.01688    -0.02057
 0.02013    -0.02097
 0.02364    -0.02141
 0.02745    -0.02184
 0.03161    -0.02220
 0.03620    -0.02245
 0.04135    -0.02257
 0.04721    -0.02258
 0.05394    -0.02252
 0.06168    -0.02234
 0.07056    -0.02200
 0.08084    -0.02143
 0.09275    -0.02058
 0.10636    -0.01940
 0.12145    -0.01786
 0.13755    -0.01593
 0.15447    -0.01348
 0.17237    -0.01046
 0.19157    -0.00684
 0.21218    -0.00273
 0.23377     0.00168
 0.25573     0.00623
 0.27766     0.01077
 0.29940     0.01522
 0.32093     0.01952
 0.34231     0.02366
 0.36359     0.02762
 0.38475     0.03141
 0.40575     0.03499
 0.42665     0.03837
 0.44749     0.04154
 0.46824     0.04450
 0.48890     0.04723
 0.50945     0.04971
 0.52995     0.05196
 0.55040     0.05397
 0.57079     0.05574
 0.59109     0.05724
 0.61129     0.05850
 0.63138     0.05949
 0.65134     0.06021
 0.67117     0.06064
 0.69087     0.06079
 0.71042     0.06066
 0.72982     0.06021
 0.74902     0.05948
 0.76796     0.05844
 0.77525     0.05791
 0.77849     0.05571
 0.79357     0.04506
 0.80821     0.03430
 0.82235     0.02348
 0.83589     0.01264
 0.84878     0.00183
 0.86096    -0.00886
 0.87235    -0.01941
 0.88289    -0.02969
 0.89250    -0.03964
 0.90110    -0.04921
 0.90877    -0.05845
 0.91556    -0.06748
 0.92160    -0.07642
 0.92699    -0.08535
 0.93174    -0.09433
 0.93474    -0.10041
